Time(Iteration),CoLinCoTheta,LinUCBCoTheta,CoLinTheta,,,,,
0,0.716578940329,0.735253076193,0.958277902865,,,,,
1,0.64457985827,0.722871215531,0.909093142894,,,,,
2,0.587224476845,0.706623097869,0.869977406709,,,,,
3,0.541471941445,0.690123166602,0.838804619047,,,,,
4,0.507727440089,0.661476231654,0.816506409225,,,,,
5,0.496722465369,0.646420428142,0.811087007389,,,,,
6,0.4919148556,0.62640520196,0.805187306447,,,,,
7,0.478415361523,0.603076944596,0.791904752171,,,,,
8,0.463089985469,0.589785122386,0.777024679108,,,,,
9,0.454041724108,0.571580255244,0.769197621016,,,,,
10,0.448004661189,0.529327084529,0.762378309948,,,,,
11,0.440644827004,0.506659020803,0.756787939536,,,,,
12,0.436927525807,0.484142663898,0.750077195507,,,,,
13,0.416949248597,0.478260091799,0.735893099671,,,,,
14,0.412410849512,0.447657389523,0.729877387603,,,,,
15,0.403875606187,0.426275209805,0.723520477448,,,,,
16,0.39844267858,0.417803105167,0.717461950349,,,,,
17,0.380231068554,0.393518858848,0.706067981903,,,,,
18,0.349526351595,0.377246900699,0.684750446253,,,,,
19,0.343212094054,0.353218613776,0.681030962981,,,,,
20,0.338942809372,0.334612915887,0.678921744537,,,,,
21,0.330950386704,0.323957771708,0.673793770688,,,,,
22,0.31205663671,0.311038444263,0.663287679373,,,,,
23,0.298250574764,0.309001511579,0.656179257343,,,,,
24,0.295103278454,0.290382243562,0.65232416164,,,,,
25,0.289652277496,0.278482643311,0.646464557983,,,,,
26,0.282334514151,0.255621398908,0.642558468387,,,,,
27,0.276230760569,0.241949101032,0.639228543684,,,,,
28,0.271458018686,0.235723134437,0.63426777119,,,,,
29,0.270537665622,0.225943747164,0.631959256748,,,,,
30,0.269388894654,0.222017737794,0.629491363725,,,,,
31,0.261601813536,0.216095644391,0.626510648406,,,,,
32,0.250900276677,0.207898489256,0.620971857194,,,,,
33,0.24953055846,0.198238732616,0.619139547566,,,,,
34,0.243342853485,0.188981076791,0.613862625268,,,,,
35,0.233558974838,0.184182583709,0.609095942573,,,,,
36,0.231742321199,0.177740432817,0.606952811787,,,,,
37,0.230940012863,0.175101776086,0.606168095931,,,,,
38,0.226941910772,0.169063907931,0.6038617681,,,,,
39,0.221718921734,0.161995203825,0.598963200504,,,,,
40,0.217355930551,0.158331582215,0.59620058077,,,,,
41,0.216039385609,0.155587266212,0.59548278061,,,,,
42,0.214933895451,0.15136289689,0.594653048305,,,,,
43,0.213695504988,0.149131825235,0.59403418124,,,,,
44,0.212786067386,0.14468366759,0.591847740835,,,,,
45,0.211829445024,0.140059116205,0.590850289894,,,,,
46,0.209654173928,0.138921080599,0.589177527934,,,,,
47,0.206371975519,0.136009312299,0.587507397741,,,,,
48,0.202625442061,0.134481851079,0.584677186555,,,,,
49,0.20155738112,0.130103410434,0.584775563932,,,,,
50,0.198275590924,0.1266010356,0.581883725194,,,,,
51,0.195860821805,0.124706314334,0.580018086456,,,,,
52,0.194705747451,0.123365164147,0.579099604312,,,,,
53,0.194515535996,0.119181331314,0.578202505773,,,,,
54,0.192879757979,0.118104998596,0.575980668339,,,,,
55,0.189802056305,0.11677066407,0.573061405847,,,,,
56,0.188433029825,0.115740070017,0.571685236036,,,,,
57,0.183535212117,0.114093387907,0.567603906425,,,,,
58,0.17753224781,0.113361866753,0.564755432231,,,,,
59,0.175720046069,0.111970343944,0.563504435867,,,,,
60,0.175205650985,0.109655465923,0.562017156738,,,,,
61,0.17526047025,0.107963487653,0.561208209735,,,,,
62,0.174350104619,0.107779537103,0.559277019714,,,,,
63,0.172820965884,0.106390315983,0.556610292919,,,,,
64,0.170347240095,0.105171789425,0.554627009517,,,,,
65,0.168077072641,0.105093599364,0.553325734564,,,,,
66,0.166560691811,0.104660508347,0.551877039996,,,,,
67,0.165219637913,0.104155247917,0.550311160859,,,,,
68,0.163825329604,0.102822786807,0.548186337952,,,,,
69,0.163530795708,0.102038973452,0.547210755916,,,,,
70,0.163154925755,0.102194277486,0.546760213512,,,,,
71,0.162756220013,0.101289895266,0.546239921873,,,,,
72,0.162014655327,0.100410701603,0.545427794918,,,,,
73,0.161449388182,0.0995247939861,0.544515922121,,,,,
74,0.159496659861,0.0989476392255,0.542564257154,,,,,
75,0.156917793306,0.0966916680498,0.539460886727,,,,,
76,0.15541480536,0.0964915344222,0.537591747028,,,,,
77,0.154331008393,0.0951719260733,0.536716261194,,,,,
78,0.153713953658,0.0935923204305,0.535737881267,,,,,
79,0.152429784279,0.0926737112267,0.534538700578,,,,,
80,0.151578820676,0.0920476982822,0.533558614592,,,,,
81,0.150504469509,0.091136756669,0.53251106263,,,,,
82,0.148641034108,0.0905289572764,0.531491118971,,,,,
83,0.147933502474,0.0901340036245,0.530877528009,,,,,
84,0.147390989478,0.0898319459773,0.529788591148,,,,,
85,0.146805890515,0.0891545533901,0.528457421377,,,,,
86,0.145523581094,0.0877938478231,0.527371513009,,,,,
87,0.145055767824,0.0879030020655,0.527131654558,,,,,
88,0.141534181399,0.088428150017,0.52528636218,,,,,
89,0.139732827645,0.0876816988291,0.523939213319,,,,,
90,0.139496033288,0.0875036411438,0.523672413234,,,,,
91,0.138857222822,0.0864915474054,0.522841727127,,,,,
92,0.138482059503,0.08556697319,0.521702609359,,,,,
93,0.137766173007,0.0847495600653,0.520966609063,,,,,
94,0.137385110442,0.083836203697,0.520274487821,,,,,
95,0.137423830134,0.0836946119919,0.519519198532,,,,,
96,0.137214112671,0.0830832904218,0.518404266237,,,,,
97,0.136241896668,0.0833380024601,0.517392884723,,,,,
98,0.134226990192,0.0831754914325,0.51720923814,,,,,
99,0.132607604414,0.0814708097925,0.51558705245,,,,,
100,0.132691918652,0.0804778431575,0.514661582337,,,,,
101,0.131626511847,0.0807516276898,0.514316326456,,,,,
102,0.130624716949,0.0805858607632,0.513394241961,,,,,
103,0.130337327865,0.0805979635333,0.512759442562,,,,,
104,0.130424486493,0.0809405263662,0.512563232984,,,,,
105,0.129451614573,0.080213396896,0.511717058143,,,,,
106,0.129054414798,0.0801710077184,0.510595645057,,,,,
107,0.129327759547,0.080091426727,0.510090270367,,,,,
108,0.128856458226,0.0800083447537,0.508680106348,,,,,
109,0.127602144853,0.0794548875892,0.50800960013,,,,,
110,0.127237457723,0.0784636899293,0.507219670774,,,,,
111,0.127000897224,0.077632438815,0.506671662297,,,,,
112,0.126120909482,0.0775713756569,0.506219116982,,,,,
113,0.124682784626,0.0762341602443,0.504893011856,,,,,
114,0.124576541729,0.0762154524044,0.503522082598,,,,,
115,0.124291921136,0.0754601822951,0.502979959345,,,,,
116,0.12398151614,0.0751476265263,0.502754444454,,,,,
117,0.12293458929,0.0745512762958,0.502113269661,,,,,
118,0.122360748733,0.0741882120437,0.501727035018,,,,,
119,0.122161696021,0.0710207534183,0.501134086226,,,,,
120,0.121752435017,0.0709499325263,0.500355657865,,,,,
121,0.121476463754,0.0706633773308,0.499405021141,,,,,
122,0.121031532691,0.0707033773915,0.498948236145,,,,,
123,0.12085521042,0.0707878555734,0.498841721642,,,,,
124,0.120581702589,0.068630516568,0.498501234256,,,,,
125,0.120350177217,0.0678064048177,0.497889649551,,,,,
126,0.120174204414,0.0676793193666,0.497395232785,,,,,
127,0.120026199206,0.0677235591566,0.496875500541,,,,,
128,0.119790551112,0.0672211597588,0.496303292547,,,,,
129,0.118826020025,0.0672728863839,0.495873865723,,,,,
130,0.118769350082,0.0672068083556,0.495141963837,,,,,
131,0.118430564791,0.0671883805214,0.494494584447,,,,,
132,0.118262588047,0.0670880906906,0.493930399001,,,,,
133,0.117733267629,0.0671144713831,0.493356743961,,,,,
134,0.117567744098,0.0666348064924,0.492992077084,,,,,
135,0.117395170244,0.0665098945552,0.492461043153,,,,,
136,0.117078076993,0.0663794424115,0.491788259307,,,,,
137,0.116768071012,0.0658748534866,0.490919629599,,,,,
138,0.116532897436,0.0659781933225,0.490755502961,,,,,
139,0.116039821936,0.0661104253191,0.490233260801,,,,,
140,0.115898981378,0.0663443129265,0.490130800558,,,,,
141,0.115632792207,0.0664871348809,0.489170067319,,,,,
142,0.115058365154,0.0659029730684,0.488547404531,,,,,
143,0.114688043027,0.0651805223044,0.488100944506,,,,,
144,0.11454173343,0.0650287103601,0.48746478923,,,,,
145,0.113684947678,0.0651000469145,0.486658944038,,,,,
146,0.112492489534,0.0648357104292,0.485845909792,,,,,
147,0.112407239458,0.0649353248034,0.485800858446,,,,,
148,0.112219622446,0.0648413120766,0.485065353565,,,,,
149,0.112076109301,0.064273533918,0.484656252408,,,,,
150,0.11189132681,0.0641150784756,0.483872954682,,,,,
151,0.111788017678,0.0640219317185,0.483414267702,,,,,
152,0.111547823915,0.0639498173208,0.483078844676,,,,,
153,0.111554981055,0.0633404868972,0.482929275172,,,,,
154,0.111064891315,0.0633590769649,0.482570773214,,,,,
155,0.111013344408,0.0631405689612,0.482178386618,,,,,
156,0.111034375054,0.063105903301,0.481969389555,,,,,
157,0.111011869813,0.0630475781227,0.481960103148,,,,,
158,0.110840118959,0.0628704962781,0.48169248256,,,,,
159,0.110339043805,0.0627363015079,0.480907526012,,,,,
160,0.110325600692,0.0627561713358,0.480176368073,,,,,
161,0.109501405288,0.0623201432053,0.479403532525,,,,,
162,0.108753323676,0.0618717690213,0.478493517279,,,,,
163,0.1084242179,0.0615899945839,0.477684297365,,,,,
164,0.108274629261,0.0614684225316,0.47752068585,,,,,
165,0.108141374746,0.0611570897135,0.477324509925,,,,,
166,0.107842427324,0.0608655141765,0.47679678197,,,,,
167,0.106637399988,0.060199912183,0.475778827174,,,,,
168,0.10604585875,0.0598417648366,0.475114804497,,,,,
169,0.10551010726,0.0596016857794,0.474833913157,,,,,
170,0.105146698492,0.0595334586835,0.474597878998,,,,,
171,0.10483454382,0.059139017252,0.47416847119,,,,,
172,0.104848908904,0.0591040411052,0.473904108582,,,,,
173,0.104750734665,0.0589320559257,0.473833283044,,,,,
174,0.10407729723,0.0583975095906,0.473227097059,,,,,
175,0.103880316603,0.057762321279,0.472800996912,,,,,
176,0.103550798025,0.0574335624249,0.47260473663,,,,,
177,0.103250368937,0.0574720766502,0.472283661068,,,,,
178,0.103213514416,0.0573226456455,0.472114602007,,,,,
179,0.103062753325,0.057357019508,0.472003822228,,,,,
180,0.102816179855,0.056413770593,0.47142844438,,,,,
181,0.102638846455,0.0564066899389,0.471086064704,,,,,
182,0.10244319187,0.0561527084643,0.470744794563,,,,,
183,0.10189673291,0.0561434799449,0.470265467333,,,,,
184,0.101915352239,0.0562654395046,0.469869120984,,,,,
185,0.101347663393,0.0561138382634,0.468864395616,,,,,
186,0.100927148738,0.0558393372974,0.46801660582,,,,,
187,0.100724637953,0.0557629386648,0.46722488455,,,,,
188,0.100577358096,0.0556378215513,0.467282574324,,,,,
189,0.100273544121,0.0554979949923,0.466434172929,,,,,
190,0.100186022564,0.0554820019707,0.466116875558,,,,,
191,0.100016029872,0.0554747643974,0.465873846328,,,,,
192,0.0999804941451,0.0554616970283,0.465502207499,,,,,
193,0.100195204714,0.0552987054793,0.465231694539,,,,,
194,0.100198475462,0.0553016128028,0.464948289865,,,,,
195,0.100178468186,0.0554750628836,0.464157880941,,,,,
196,0.100335079124,0.055365722475,0.463524877668,,,,,
197,0.0983841493594,0.0545523386975,0.462769106336,,,,,
198,0.0959148319543,0.0545679610352,0.460298576175,,,,,
199,0.0955707966801,0.0544590646574,0.459833333377,,,,,
200,0.0956025205401,0.0543614543641,0.45969199062,,,,,
201,0.0953013407076,0.0542500018886,0.459380817946,,,,,
202,0.0950829060999,0.0538197079186,0.458739422173,,,,,
203,0.0947476870195,0.053944087528,0.458112251289,,,,,
204,0.0946276620946,0.0540541995984,0.457992825562,,,,,
205,0.0945236897877,0.0538109914192,0.457593335906,,,,,
206,0.0940276763942,0.0537919527809,0.457328789171,,,,,
207,0.0936926282645,0.0532898346896,0.456614060229,,,,,
208,0.0934892062723,0.0532037882796,0.456367800501,,,,,
209,0.0934698695791,0.0531572907962,0.456203118835,,,,,
210,0.0933382261868,0.0531348470605,0.455677725885,,,,,
211,0.0932418966325,0.0532805236668,0.455430680451,,,,,
212,0.0930744002765,0.0531619956422,0.454902664794,,,,,
213,0.0930902344181,0.0525309108447,0.454365941393,,,,,
214,0.0928809818292,0.052382382776,0.454011895921,,,,,
215,0.0926526903091,0.0521983957507,0.454313116894,,,,,
216,0.0920338477162,0.0520972619913,0.454092759393,,,,,
217,0.0916042395914,0.0518097533953,0.452878087306,,,,,
218,0.0911730194027,0.0518792910644,0.452305529498,,,,,
219,0.0912730055745,0.0515769900984,0.451778470891,,,,,
220,0.0912924858537,0.0516813258609,0.451575114338,,,,,
221,0.0910796806054,0.0515180425933,0.451163932924,,,,,
222,0.0908074495983,0.0514834437297,0.450961676749,,,,,
223,0.0905822639766,0.051288030689,0.450487716534,,,,,
224,0.0895388982731,0.0512249498794,0.449881624613,,,,,
225,0.0886138212915,0.0509061492701,0.44897157438,,,,,
226,0.0885497547071,0.0510652776934,0.448933638982,,,,,
227,0.0884941064058,0.0503161943499,0.448544184159,,,,,
228,0.0883146548248,0.0502182607893,0.448321281259,,,,,
229,0.0881537562463,0.0497529565062,0.447896638454,,,,,
230,0.0879482420045,0.0495130298855,0.447356159776,,,,,
231,0.0880403589582,0.0493982493827,0.446906359786,,,,,
232,0.0878810554346,0.0494246419463,0.44650119766,,,,,
233,0.0875551972369,0.0494412558837,0.446127254844,,,,,
234,0.0871829201727,0.0493276579457,0.446160791709,,,,,
235,0.0869247614345,0.0494075226381,0.446219663223,,,,,
236,0.0864189671992,0.0494273220584,0.445861131603,,,,,
237,0.0864365273086,0.0485491249464,0.445702742243,,,,,
238,0.0863167643879,0.0485062359226,0.445710664077,,,,,
239,0.086173896271,0.0483065276706,0.445775785024,,,,,
240,0.0850909777326,0.0481494066672,0.44469390901,,,,,
241,0.0845414128872,0.0479254466965,0.444437607614,,,,,
242,0.0843015028081,0.0478705065257,0.444129518788,,,,,
243,0.0842827667797,0.048084202089,0.44380390387,,,,,
244,0.0840012419894,0.0477173002755,0.443861787005,,,,,
245,0.0837312787943,0.0475671063637,0.443448859361,,,,,
246,0.0836239105008,0.0474882551584,0.442947486174,,,,,
247,0.0835088085502,0.0471523994967,0.442194604961,,,,,
248,0.0835832107551,0.0469339322976,0.44172865345,,,,,
249,0.0834772003305,0.0468940906346,0.441716100388,,,,,
250,0.0834313058097,0.0467550826374,0.441458652153,,,,,
251,0.0832033260952,0.0463096921858,0.440979991088,,,,,
252,0.0826847447086,0.0462642801164,0.440220840377,,,,,
253,0.0823779629149,0.0458457451486,0.439889168646,,,,,
254,0.0822524989036,0.0457047026122,0.439625651258,,,,,
255,0.081909151873,0.045356377768,0.438885271997,,,,,
256,0.0816958756044,0.0452550701265,0.438512323383,,,,,
257,0.0815349077291,0.0452014476829,0.438252070459,,,,,
258,0.0813843262379,0.0450361185367,0.437781087218,,,,,
259,0.0810117297324,0.0450716700391,0.437495210678,,,,,
260,0.0805796030868,0.0450252900348,0.437097651952,,,,,
261,0.0799347637149,0.044967195785,0.436621232887,,,,,
262,0.0791355083722,0.0447338481458,0.436029529057,,,,,
263,0.0789035085303,0.0446295352207,0.435765397378,,,,,
264,0.0788199212106,0.0443527991173,0.435674222211,,,,,
265,0.0786522181357,0.0441050666668,0.434814264957,,,,,
266,0.0786027789755,0.0441151789263,0.43435792761,,,,,
267,0.0785345357462,0.0441267596459,0.433660819083,,,,,
268,0.078623837898,0.0441465821741,0.433474521288,,,,,
269,0.078550568038,0.0441123792889,0.433008075445,,,,,
270,0.0785292392925,0.0440582826292,0.432837447547,,,,,
271,0.0784462049595,0.0439866120629,0.432701725502,,,,,
272,0.0783276608018,0.043703085839,0.432351206647,,,,,
273,0.0781692605938,0.0436925223964,0.4320957103,,,,,
274,0.0780440667037,0.0434931866526,0.431689083407,,,,,
275,0.0780636704295,0.0432483604883,0.431373630685,,,,,
276,0.0780287996122,0.0433226875734,0.431356793474,,,,,
277,0.0779376128846,0.0429554981359,0.431189504953,,,,,
278,0.077935246045,0.0431793469817,0.43070048702,,,,,
279,0.0779599033688,0.0433043636412,0.430284398971,,,,,
280,0.0776307120987,0.0433991570377,0.42960738895,,,,,
281,0.0774142220558,0.0436782204224,0.429079757345,,,,,
282,0.077259700263,0.0435662555961,0.428630962087,,,,,
283,0.0769516334952,0.0435042078611,0.428047594036,,,,,
284,0.0768670956274,0.0433684559491,0.427828326715,,,,,
285,0.0766144709566,0.0434521473535,0.427446169461,,,,,
286,0.0763503057104,0.0433339065431,0.427179633715,,,,,
287,0.0761976584576,0.0430786333404,0.426291711153,,,,,
288,0.0762217372635,0.0428772114382,0.426645008069,,,,,
289,0.0761414100058,0.0426190139211,0.426415675371,,,,,
290,0.0754708354666,0.0427003645401,0.425575224979,,,,,
291,0.0755067053516,0.0425679748927,0.425313412971,,,,,
292,0.0752240091388,0.0422618922602,0.424853689308,,,,,
293,0.0750787331317,0.042106335779,0.424618849173,,,,,
294,0.0746578882588,0.041914096246,0.424034451566,,,,,
295,0.0744936834471,0.0418440460383,0.423765767905,,,,,
296,0.0743951554987,0.0419269207867,0.423403583138,,,,,
297,0.0743907386694,0.0418870655465,0.423399822363,,,,,
298,0.0744180398077,0.0418010501545,0.42327291694,,,,,
299,0.0744430511084,0.0419348821207,0.423046830409,,,,,
